link,product_name,keywords,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,marketplace,itemId,shopId
https://www.lazada.co.th/products/keto-eggyday-3-100g-i5077827136.html,🍜🥢KETO เส้นราเมนไข่ขาว เส้นหมี่ไข่ขาว 🍚 ข้าวไข่ขาว Eggyday ✨ไร้แป้ง ไร้น้ำตาล โปรตีนสูง = ไข่ขาว 3 ฟอง✨ ขนาด 100g พร้อมรับประทาน 🔰 ฉีกซองทานได้เลย ทานง่าย คีโตทานได้ ลดน้ำหนัก ลดหุ่นทานได้,"เส้นหมี่ไข่ขาว, ข้าวไข่ขาว",กรุงเทพมหานคร,5.0,3,9 ชิ้น,"เส้นราเมนไข่ขาว, เส้นหมี่ไข่ขาว, ข้าวไข่ขาว",89,74,17%,No.1 Sausage,,lazada,5077827136,100194504235
https://www.lazada.co.th/products/nim-nim-keto-100g-4-i4471343861.html,Nim  Nim เส้นไข่ขาว KETO (น้ำหนักเส้น 100g.) เส้นพร้อมทาน มี 4 แบบให้เลือก,เส้นไข่ขาว,เชียงใหม่,5.0,75,578 ชิ้น,"เส้นไข่ขาว, เส้นหมี่, เส้นสปาเกตตี้, ไข่มุกไข่ขาว",96,74,23%,greenpea organic shop,,lazada,4471343861,100006971
https://www.lazada.co.th/products/100-i4743082622.html,เส้นไข่ขาว (เส้นหมี่)  ถุงเล็ก 100กรัม,เส้นไข่ขาว,เชียงใหม่,5.0,2,8 ชิ้น,,55,55,,Rainny Keto002,,lazada,4743082622,100429872942
https://www.lazada.co.th/products/pfp-100-i4072575121.html,เส้นไข่ขาว PFP 100 กรัม,เส้นไข่ขาว,กรุงเทพมหานคร,,,,,85,75,12%,PMQ FOODS,,lazada,4072575121,100189029172
https://www.lazada.co.th/products/keto-i309610632.html,Keto รวมเส้นคีโต เส้นบุก บุกข้าว เส้นไข่ขาว,เส้นไข่ขาว,เชียงใหม่,4.882352941176471,34,518 ชิ้น,"Nim เส้นไข่ขาว, Nim เส้นหมี่ไข่ขาว, Nim เส้นสปาเกตตี้ไข่, Moku บุกเส้นกลม, Moku บุกเส้นสั้น, Moku บุกเส้นเขียวขาว, Moku บุกรูปข้าว, Moku บุกข้าวมรกต, Moku บุกเส้นกลม100g., Moku เส้นใหญ่โอ๊ตไฟเบอร์ 100g., Moku สปาเกตตี้โอ๊ตไฟเบอร์ 100g., Moku บะหมี่โอ๊ตไฟเบอร์100g., Mokiเส้นแบนโอ๊ต200g., Moki สปาเกตตี้โอ๊ต200g., Moki บะหมี่โอ๊ต200g.",55,25,55%,greenpea organic shop,,lazada,309610632,100006971
https://www.lazada.co.th/products/eggyday-100-g-6-12-i5042485470.html,Eggyday เส้นหมี่โปรตีนไข่ขาว พร้อมรับประทาน 100 g เซต 6 ซอง และ 12 ซอง อาหารคนไข้โรคไต,"โปรตีนไข่ขาว, เส้นหมี่โปรตีนไข่ขาว",กรุงเทพมหานคร,5.0,1,,,474,449,5%,Feel A Life Shop,,lazada,5042485470,100157246
https://www.lazada.co.th/products/eggyday-100g-i4838733624.html,Eggyday เส้นหมี่ไข่ขาว เส้นราเมนไข่ขาว ขนาด 100g. ไม่มีน้ำตาล ไร้กลูเตน ไร้แป้ง โปรตีนสูง ฉีกซองทานได้ทันที ฮาลาล,เส้นหมี่ไข่ขาว,เชียงใหม่,5.0,8,33 ชิ้น,"เส้นหมี่ไข่ขาว, เส้นราเมนไข่ขาว",115,79,31%,greenpea organic shop,,lazada,4838733624,100006971
https://www.lazada.co.th/products/sano-egg-white-fusilli-150g-500g-1000g-i5255914766.html,"SANO ซาโน่ เส้นฟูซิลี่ไข่ขาว EGG WHITE FUSILLI โปรตีนไข่ขาว ปลอดกลูเต็น ขนาด 150g , 500g และ 1,000g",โปรตีนไข่ขาว,กรุงเทพมหานคร,,,,"ขนาด 150g - 1 ถุง, ขนาด 150g - 3 ถุง, ขนาด 500g - 1 ถุง, ขนาด 1,000g - 1 ถุง",435,420,3%,KassMedicare,,lazada,5255914766,100190484180
https://www.lazada.co.th/products/nimnim-i4270995028.html,เส้นหมี่ไข่ขาวนิ่มนิ่มไร้แป้ง ไร้ไขมัน Nimnim,เส้นหมี่ไข่ขาว,กรุงเทพมหานคร,5.0,4,40 ชิ้น,,85,81,5%,nimnim / nimnim (นิ่มนิ่ม),mall,lazada,4270995028,100252083119
https://www.lazada.co.th/products/eggyday-3-100g-i5078915186.html,Eggyday 3ห่อ เส้นไข่ขาว  เส้นหมี่ไข่ขาว เส้นราเมนไข่ขาว ขนาด 100g. ไม่มีน้ำตาล ไร้กลูเตน ไร้แป้ง โปรตีนสูง ฉีกซองทานได้ทันที ฮาลาล,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",เชียงใหม่,,,,"เส้นหมี่ไข่ขาว, เส้นราเมนไข่ขาว",270,270,,greenpea organic shop,,lazada,5078915186,100006971
